NAV_PERMS,FA Manager 3,Clean_NAV,TO_CHAR(A.PORTAL_NAVPATH),ITEMLABEL,Unnamed: 2,Menu,Menubar,MENUITEM2,Page,Display only,Actions,7,OBJECTOWNERID,XLATLONGNAME,XLATSHORTNAME,COMPONENT,PNLNAME,PORTAL_OBJNAME
Main Menu>Financial Aid>Loans>Commonline Management>Loan Transmission Information:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Loan Transmission Information,Main Menu>Financial Aid>Loans>Commonline Management>Loan Transmission Information,Loan Transmission Status,,PROCESS_LOANS,INQUIRE,MENUITEM2,LOAN_ORIG_TRNS_INQ,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_TRANS_INQ,LOAN_ORIG_TRNS_INQ,HC_LOAN_TRANS_INQ_GBL
Main Menu>Financial Aid>Loans>View Loan Application Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Loan Application Status,Main Menu>Financial Aid>Loans>View Loan Application Status,&Loan Application Summary,,PROCESS_LOANS,INQUIRE,ORIGINATION_LOAN_SUMMARY,LOAN_ORIGINATION_SUMMARY,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_SUMM_DTL,LOAN_ORIG_SUMM_DTL,HC_LOAN_ORIG_SUMM_DTL_GBL
Main Menu>Financial Aid>Loans>View Loan Application Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Loan Application Status,Main Menu>Financial Aid>Loans>View Loan Application Status,Scc Sum Work,,PROCESS_LOANS,INQUIRE,ORIGINATION_LOAN_SUMMARY,SCC_SUM_WORK,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_SUMM_DTL,SCC_SUM_WORK,HC_LOAN_ORIG_SUMM_DTL_GBL
Main Menu>Financial Aid>Loans>View Originated Loans:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Originated Loans,Main Menu>Financial Aid>Loans>View Originated Loans,Origination &Student Summary,,PROCESS_LOANS,INQUIRE,ORIGINATION_STUDENT_SUMMARY,STUDENT_LOAN_ORIGINATIONS,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_SUMM,LOAN_ORIG_SUMM,HC_LOAN_ORIG_SUMM_GBL
Main Menu>Financial Aid>Loans>View Originated Loans:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Originated Loans,Main Menu>Financial Aid>Loans>View Originated Loans,Scc Sum Work,,PROCESS_LOANS,INQUIRE,ORIGINATION_STUDENT_SUMMARY,SCC_SUM_WORK,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_SUMM,SCC_SUM_WORK,HC_LOAN_ORIG_SUMM_GBL
Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Status Codes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Status Codes,Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Status Codes,CRC Loan Action Codes,,PROCESS_LOANS,INQUIRE,SFA_CRC_ACTN_CD_I,SFA_CRC_ACTION_CD,0,2,2,SFAL,FA-Loans,FA-Loans,SFA_CRC_ACTN_CD_I,SFA_CRC_ACTION_CD,HC_SFA_CRC_ACTN_CD_I_GBL
Main Menu>Financial Aid>File Management>Commonline Loans>CRC Document Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>CRC Document Management,Main Menu>Financial Aid>File Management>Commonline Loans>CRC Document Management,CRC File Review,,PROCESS_LOANS,INQUIRE,SFA_CRC_FILE_REV,SFA_CRC_FILE_REV,0,2,2,SFAL,FA-Loans,FA-Loans,SFA_CRC_FILE_REV,SFA_CRC_FILE_REV,HC_SFA_CRC_FILE_REV_GBL
Main Menu>Financial Aid>File Management>Commonline Loans>CRC Award Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>CRC Award Management,Main Menu>Financial Aid>File Management>Commonline Loans>CRC Award Management,CRC Suspense Management,,PROCESS_LOANS,INQUIRE,SFA_CRC_LOAD,SFA_CRC_LOAD_VW,0,2,2,SFAL,FA-Loans,FA-Loans,SFA_CRC_LOAD,SFA_CRC_LOAD,HC_SFA_CRC_LOAD_GBL
Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging:0:Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging,Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging,&Detail,,PROCESS_LOANS,INQUIRE,SFA_EXIT_CNSL_STG,SFA_EXIT_CNSL_DTL,0,2,2,SFAL,FA-Loans,FA-Loans,SFA_EXIT_CNSL_STG,SFA_EXIT_CNSL_DTL,HC_SFA_EXIT_CNSL_STG_GBL
Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging:0:Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging,Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging,&Header/Trailer,,PROCESS_LOANS,INQUIRE,SFA_EXIT_CNSL_STG,SFA_EXIT_CNSL_HDR,0,2,2,SFAL,FA-Loans,FA-Loans,SFA_EXIT_CNSL_STG,SFA_EXIT_CNSL_HDR,HC_SFA_EXIT_CNSL_STG_GBL
Main Menu>Financial Aid>Loans>View Perkins Loan Indebtedness:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Perkins Loan Indebtedness,Main Menu>Financial Aid>Loans>View Perkins Loan Indebtedness,Perkins Loan Indebtedness,,PROCESS_LOANS,INQUIRE,SFA_PERK_MPN_INDEB,SFA_PERK_MPN_INDEB,0,2,2,SFAL,FA-Loans,FA-Loans,SFA_PERK_MPN_INDEB,SFA_PERK_MPN_INDEB,HC_SFA_PERK_MPN_INDEB_GBL
Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Errors:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Errors,Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Errors,&Business Document Detail,,PROCESS_LOANS,MENUITEM9,BUSINESS_DOCUMENT_ERRORS,BUSINESS_DOCUMENT_DETAIL,0,2,2,SFAL,FA-Loans,FA-Loans,EC_BUSDOCLN_02,EC_BUSDOCLN_00,HC_FA_ECBUSDOCERR_GBL
