NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Rejected Records:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Rejected Records
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant School Chg Inquiry:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant School Chg Inquiry
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Accepted Records:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Accepted Records
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR File Review:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR File Review
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 22/23:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 22/23
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 18/19:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 18/19
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 24/25:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 24/25
Main Menu>CAL Components>Financial Aid>PLUS Loans>PLUS Loan Application:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>PLUS Loans>PLUS Loan Application
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Test Results:0:Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Test Results
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Maintain ISIR Comment Codes:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Maintain ISIR Comment Codes
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Review Equations:0:Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Review Equations
Main Menu>Financial Aid>Federal Application Data>Update SAP/Verification Status:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Update SAP/Verification Status
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Assign Status to Admit Levels:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Assign Status to Admit Levels
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Level Translation:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Level Translation
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Define Financial Aid Years:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Define Financial Aid Years
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Award Adjustment Reasons:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Award Adjustment Reasons
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Categories:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Categories
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Items:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Items
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Area Translation:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Area Translation
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement ID Table:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement ID Table
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement Plan Table:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement Plan Table
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement Split Codes:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement Split Codes
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Test Data:0:Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Test Data
Main Menu>Set Up SACR>Product Related>Financial Aid>Define Commit Levels:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Define Commit Levels
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Pop Select Parameters:0:Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Pop Select Parameters
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>View COD Edit Codes:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>View COD Edit Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Define External Award Types:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Define External Award Types
Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Define External Award Sources:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Define External Award Sources
Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Item Type Cross Reference:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Item Type Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement Split Cd Formula:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Disbursement Split Cd Formula
Main Menu>Set Up SACR>Product Related>Financial Aid>Forms Engine Notification>Define Notification Form Types:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Forms Engine Notification>Define Notification Form Types
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Maintain EDI Transactions:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Maintain EDI Transactions
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>CSL File Load Control:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>CSL File Load Control
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS Assumption Codes:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS Assumption Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Institutional Cross Reference:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Institutional Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>ISIR/SAR Cross Reference:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>ISIR/SAR Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Verification Cross Reference:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Verification Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>EFC Assumption Codes:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>EFC Assumption Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Fiscal Item Types:1:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Fiscal Item Types
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Valid Careers for Aid Year:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Valid Careers for Aid Year
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Valid Terms for Career:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Valid Terms for Career
