NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Type Table:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Type Table
Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Packaging Variables:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Packaging Variables
Main Menu>CAL Components>Utilities>Copy QBU run control records:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Copy QBU run control records
Main Menu>CAL Components>Financial Aid>Reporting>Scholar Manual Match Files:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Reporting>Scholar Manual Match Files
Main Menu>Records and Enrollment>Transcripts>Request Transcript Report:0:Add Update/Display,x,Main Menu>Records and Enrollment>Transcripts>Request Transcript Report
Main Menu>Records and Enrollment>Transcripts>Batch Transcripts>Process Transcripts:0:Add Update/Display,x,Main Menu>Records and Enrollment>Transcripts>Batch Transcripts>Process Transcripts
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Admissions Detail:0:Update/Display All,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Admissions Detail
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Loan Edits:0:Update/Display All,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Loan Edits
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Maintain CRC Loan Edits:0:Update/Display All,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Maintain CRC Loan Edits
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>Federal Detail 2016-2017:0:Update/Display All,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>Federal Detail 2016-2017
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>Federal Detail 2017-2018:0:Update/Display All,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>Federal Detail 2017-2018
Main Menu>Financial Aid>Federal Application Data>View 2022-2023 FM EFC Detail:0:Update/Display All,x,Main Menu>Financial Aid>Federal Application Data>View 2022-2023 FM EFC Detail
Main Menu>Financial Aid>Federal Application Data>View FM SAI Detail:0:Update/Display All,x,Main Menu>Financial Aid>Federal Application Data>View FM SAI Detail
Main Menu>Financial Aid>Federal Application Data>View 2023-2024 FM EFC Detail:0:Update/Display All,x,Main Menu>Financial Aid>Federal Application Data>View 2023-2024 FM EFC Detail
Main Menu>Financial Aid>Awards>View NSLDS Loan Data:0:Update/Display All,x,Main Menu>Financial Aid>Awards>View NSLDS Loan Data
Main Menu>Financial Aid>Loans>View Loan Action Codes:0:Update/Display All,x,Main Menu>Financial Aid>Loans>View Loan Action Codes
Main Menu>Financial Aid>Loans>View Award Disbursements:0:Update/Display All,x,Main Menu>Financial Aid>Loans>View Award Disbursements
Main Menu>CAL Components>Financial Aid>ISIR QA Verification>Cal ISIR QA Verification:0:Update/Display All,x,Main Menu>CAL Components>Financial Aid>ISIR QA Verification>Cal ISIR QA Verification
Main Menu>CAL Components>Financial Aid>ISIR QA Verification>FAFSA QA Verification:0:Update/Display All,x,Main Menu>CAL Components>Financial Aid>ISIR QA Verification>FAFSA QA Verification
Main Menu>Campus Community>Delegated Access>Review Shared Information:1:Update/Display Update/Display All,x,Main Menu>Campus Community>Delegated Access>Review Shared Information
Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>Residency Data:1:Update/Display Update/Display All,x,Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>Residency Data
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>View MCS Adm/Enroll File Data:0:Update/Display Update/Display All,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>View MCS Adm/Enroll File Data
Main Menu>Set Up SACR>Product Related>Financial Aid>Financial Aid Term>Setup Financial Aid Term:0:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Financial Aid Term>Setup Financial Aid Term
Main Menu>Set Up SACR>Security>Equation Tree Security>Application Engine>Application Engine:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Security>Equation Tree Security>Application Engine>Application Engine
Main Menu>Set Up SACR>Security>Equation Tree Security>Callable SQL>Callable SQL:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Security>Equation Tree Security>Callable SQL>Callable SQL
Main Menu>Set Up SACR>Security>Equation Tree Security>External Subroutines>External Routines:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Security>Equation Tree Security>External Subroutines>External Routines
Main Menu>Set Up SACR>Security>Equation Tree Security>Equation Names>Equation Names:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Security>Equation Tree Security>Equation Names>Equation Names
Main Menu>Set Up SACR>Security>Equation Tree Security>Tables and Views>Tables and Views:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Security>Equation Tree Security>Tables and Views>Tables and Views
Main Menu>Financial Aid>File Management>PROFILE Import>Suspense Management:0:Update/Display Update/Display All,x,Main Menu>Financial Aid>File Management>PROFILE Import>Suspense Management
Main Menu>Financial Aid>Budgets>Maintain Term Budgets:0:Update/Display Update/Display All,x,Main Menu>Financial Aid>Budgets>Maintain Term Budgets
Main Menu>Financial Aid>Loans>Commonline Management>CRC Certification Request:0:Update/Display Update/Display All,x,Main Menu>Financial Aid>Loans>Commonline Management>CRC Certification Request
Main Menu>Financial Aid>File Management>Loan Counseling>View DL Loan Counseling Data:0:Update/Display Update/Display All,x,Main Menu>Financial Aid>File Management>Loan Counseling>View DL Loan Counseling Data
Main Menu>Records and Enrollment>Career and Program Information>Student Groups:0:Update/Display Update/Display All,x,Main Menu>Records and Enrollment>Career and Program Information>Student Groups
Main Menu>CAL Components>Financial Aid>Personal Profile>Student Housing Option:0:Update/Display Update/Display All,x,Main Menu>CAL Components>Financial Aid>Personal Profile>Student Housing Option
Main Menu>Financial Aid>File Management>Need Access Import>Suspense Records 2008-2009:0:Add Update/Display Update/Display All,x,Main Menu>Financial Aid>File Management>Need Access Import>Suspense Records 2008-2009
Main Menu>Financial Aid>File Management>Need Access Import>Suspense Records 2009-2010:0:Add Update/Display Update/Display All,x,Main Menu>Financial Aid>File Management>Need Access Import>Suspense Records 2009-2010
Main Menu>Financial Aid>File Management>PROFILE Import>Suspense Records 2009-2010:0:Add Update/Display Update/Display All,x,Main Menu>Financial Aid>File Management>PROFILE Import>Suspense Records 2009-2010
Main Menu>Financial Aid>Loans>DL School Account Summary>DLSAS Import 2015-2016:0:Add Update/Display Update/Display All,x,Main Menu>Financial Aid>Loans>DL School Account Summary>DLSAS Import 2015-2016
Main Menu>Financial Aid>Satisfactory Academic Progress>Simulate Student Eligibility:0:Add Update/Display Update/Display All,x,Main Menu>Financial Aid>Satisfactory Academic Progress>Simulate Student Eligibility
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2023-24 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2023-24 Cal ISIR Records
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Reconciliation Dtls:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Reconciliation Dtls
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Correction/Payment Staging:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Correction/Payment Staging
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2015-16 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2015-16 Cal ISIR Records
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2016-17 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2016-17 Cal ISIR Records
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2017-18 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2017-18 Cal ISIR Records
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Delete:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Delete
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2024-25 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2024-25 Cal ISIR Records
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2022-23 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2022-23 Cal ISIR Records
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2018-19 Cal ISIR Records:0:Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>View 2018-19 Cal ISIR Records
Main Menu>Set Up SACR>Product Related>Financial Aid>Financial Aid Term>Define Career Types:0:Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Financial Aid Term>Define Career Types
Main Menu>Financial Aid>File Management>ISIR Import>Delete ISIR/NSLDS Records:0:Correction,x,Main Menu>Financial Aid>File Management>ISIR Import>Delete ISIR/NSLDS Records
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>View 2016-2017 ISIRs:0:Correction,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>View 2016-2017 ISIRs
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>View 2017-2018 ISIRs:0:Correction,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>View 2017-2018 ISIRs
Main Menu>Financial Aid>Federal Application Data>Correct 2022-2023 ISIR records:0:Correction,x,Main Menu>Financial Aid>Federal Application Data>Correct 2022-2023 ISIR records
Main Menu>Financial Aid>Federal Application Data>Correct 2023-2024 ISIR records:0:Correction,x,Main Menu>Financial Aid>Federal Application Data>Correct 2023-2024 ISIR records
Main Menu>Financial Aid>Federal Application Data>Simulate FM:0:Correction,x,Main Menu>Financial Aid>Federal Application Data>Simulate FM
Main Menu>Financial Aid>Federal Application Data>Correct ISIR Records:0:Correction,x,Main Menu>Financial Aid>Federal Application Data>Correct ISIR Records
Main Menu>CAL Components>Financial Aid>Reporting>CAL ISIR Compare Report:0:Add Correction,x,Main Menu>CAL Components>Financial Aid>Reporting>CAL ISIR Compare Report
Main Menu>CAL Components>Financial Aid>Reporting>ISIR Compare Report:0:Add Correction,x,Main Menu>CAL Components>Financial Aid>Reporting>ISIR Compare Report
Main Menu>SCI Enhancements>Communication Center>Message Component Setup:0:Add Update/Display Correction,x,Main Menu>SCI Enhancements>Communication Center>Message Component Setup
Main Menu>SCI Enhancements>Communication Center>Message Exclusion Codes:0:Add Update/Display Correction,x,Main Menu>SCI Enhancements>Communication Center>Message Exclusion Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Verification Setup:0:Add Update/Display Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Verification Setup
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Loan Destinations:0:Add Update/Display Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Loan Destinations
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Hold and Release Equations:0:Add Update/Display Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Hold and Release Equations
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Payment Roster Detail:0:Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Payment Roster Detail
Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Set Up Disbursement Calendars:0:Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Set Up Disbursement Calendars
Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Define Global Rules:0:Add Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Define Global Rules
Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Define Item Type Rules:1:Add Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Define Item Type Rules
Main Menu>Financial Aid>Financial Aid Term>Maintain Student FA Term:0:Update/Display Update/Display All Correction,x,Main Menu>Financial Aid>Financial Aid Term>Maintain Student FA Term
Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>Citizenship>Visa Permit Data:1:Update/Display Update/Display All Correction,x,Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>Citizenship>Visa Permit Data
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Enrollment Detail:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Enrollment Detail
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Assignment Run Control:0:Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Assignment Run Control
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Tree Address Usage:0:Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Tree Address Usage
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Package Rating Components:0:Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Package Rating Components
Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define Set Up Criteria:0:Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define Set Up Criteria
Main Menu>Financial Aid>Satisfactory Academic Progress>Maintain Student SAP Data:0:Update/Display Update/Display All Correction,x,Main Menu>Financial Aid>Satisfactory Academic Progress>Maintain Student SAP Data
Main Menu>CAL Components>Campus Community>Self-Service>Administration Pages>Checklist Management:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Campus Community>Self-Service>Administration Pages>Checklist Management
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Convert Aid Setup:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Convert Aid Setup
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>External Awards Item Types:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>External Awards Item Types
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Award Management Setup:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Award Management Setup
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Self Service Defaults:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Self Service Defaults
"Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Trms & Cond, Title IV Response:0:Update/Display Update/Display All Correction",x,"Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Trms & Cond, Title IV Response"
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Enrollment Verification Admin:0:Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Enrollment Verification Admin
Main Menu>SCI Enhancements>Communication Center>Communication Group Setup:0:Add Update/Display Update/Display All Correction,x,Main Menu>SCI Enhancements>Communication Center>Communication Group Setup
Main Menu>SCI Enhancements>Communication Center>Message Setup:0:Add Update/Display Update/Display All Correction,x,Main Menu>SCI Enhancements>Communication Center>Message Setup
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Data:0:Add Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Data
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Setup>Cal ISIR Load Parameters:0:Add Update/Display Update/Display All Correction,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Setup>Cal ISIR Load Parameters
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Aid Limits:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Aid Limits
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Region Table:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Region Table
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Assignment:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Assignment
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Formulas:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Formulas
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Trees:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Trees
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Application Source Rank:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Application Source Rank
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Early Financial Aid Categories:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Early Financial Aid Categories
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Data Tables:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Data Tables
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation External Subroutines:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation External Subroutines
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation SQL Routines:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation SQL Routines
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Editor:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Editor
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Financial Aid Item Types:1:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Financial Aid Item Types
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Loan Fee Setup:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Loan Fee Setup
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Packaging Equity Item Types:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Packaging Equity Item Types
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Packaging Plan:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Packaging Plan
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Related Item Type Group:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Related Item Type Group
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Repackaging Plan:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Repackaging Plan
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>ISIR Data Load Parameters:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>ISIR Data Load Parameters
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>NSLDS Data Load Parameters:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>NSLDS Data Load Parameters
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>PROFILE Load Parameters:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>PROFILE Load Parameters
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Define Loan Report Definitions:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Define Loan Report Definitions
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Maintain Loan Report Packages:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Maintain Loan Report Packages
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Setup Perkins MPN Options:0:Add Update/Display Update/Display All Correction,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Setup Perkins MPN Options
