Menu,Menubar,MENUITEM2,Page,Display only,Actions,7
ESTABLISH_COURSES,USE,COURSE_CATALOG,CRSE_OFFER_GL_WRK,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,RQS_CAT_WRK,0,6,6
ESTABLISH_COURSES,INQUIRE,COURSE_CATALOG_SUMMARY,COURSE_CATALOG_SUMMARY,0,6,6
ESTABLISH_COURSES,INQUIRE,ENROLLMENT_COURSELIST_SUMMARY,COURSELIST_SUMMARY,0,6,6
ESTABLISH_COURSES,INQUIRE,ENROLLMENT_REQUIREMENT_SUMMAR,REQUIREMENT_SUMMARY,0,6,6
ESTABLISH_COURSES,INQUIRE,ENROLLMENT_REQUIREMENT_SUMMAR,WORK_PANEL,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,CUMULATIVE_STATISTICS,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,STDNT_SESSION_WDWL,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,TERM_STATISTICS,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,ACAD_STDNG_ACTN,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,STDNT_SPCL_GPA,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,STDNT_GRD_REVIEW,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,TERM_ACTIVATION_WORK_PANEL,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,TERM_HISTORY_WRK,0,6,6
MANAGE_ACADEMIC_RECORDS,USE,TERM_HISTORY,WITHDRAWAL,0,6,6
TRACK_STUDENT_CAREERS,INQUIRE,STUDENT_CAREER,STUDENT_CAREER,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_GROUPS,STUDENT_GROUPS,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,CAN_RPT_STD_ENR,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,SSR_STD_PRG_AUS,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STDNT_PROG_CAF,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STDNT_PLAN_WRK,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STDNT_ATTRIBUTES,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STUDENT_DEGREE,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STUDENT_SUB-PLAN,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STUDENT_PLAN,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,STUDENT_PROGRAM,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,SSR_STDNT_PLAN_WK2,0,6,6
TRACK_STUDENT_CAREERS,USE,STUDENT_PROGRAM_PLAN,SCC_STDNTCTR_WORK,0,6,6
CC_BIO_DEMO_DATA_STDNT,USE,EMERGENCY_CONTACTS,SCC_EMERG_CNTCT2,0,2,2
CC_BIO_DEMO_DATA_STDNT,USE,EMERGENCY_CONTACTS,SCC_EMERG_CNTCT1,0,2,2
CC_BIO_DEMO_DATA_STDNT,USE,ETHNICITY_DETAIL,ETHNICITY_DETAIL,0,2,2
